TransportTaxiEstimateTravelFareQ,TransportTaxiEstimateTravelFareOrigin,TransportTaxiEstimateTravelFareDestination,TransportTaxiEstimateTravelFareTaxiType
what's the price with radiotaxi to go to bologna?,,bologna,radiotaxi
find the estimated fare in uber to reach st thomas mount north parade road near jothi theatre,,st thomas mount north parade road near jothi theatre,uber
Estimate cost of Uber home to Jenny's house.,,Jenny's house,Uber
Tell me the fare of the car service Uber to the destination New York.,,New York,Uber
Uber service prices to walmart.,,Walmart,Uber
How much will Pool cost me to be at the Central Mall?,,Central Mall,Pool
How much would it cost to Uber to Roger Park?,,Roger Park,Uber
How much is the Uber ride from here to LAX?,here,LAX,Uber
How much will it cost to take Uber from home to the airport?,Home,airport,Uber
How much is it to take an Uber to Main Street?,,Main Street,Uber
Tell me the fare of uber cabs between my location to times square,,times square,uber
Hey Aneeda get me the estimated fare of Uber SUV to reach jubilee hils,,jubilee hils,Uber SUV
Whats the cost of an Uber to Heathrow,,Heathrow,Uber
How much money would it take for me to get to the airport using Uber?,,airport,uber
How much does it cost to get to Times Square by Uber,,Times Square,Uber
Just search for me the estimated fare by Lyft Line to reach Madison Square Garden,,Madison Square Garden,Lyft Line
calculate the fare on uber SUV from my location to rodeo drive,my location,rodeo drive,uber SUV
How much does it cost to ride an Uber from my current location to Times Square?,my current location,Times Square,Uber
How much will it cost to get to 123 empty street in lyft line?,,123 empty street,Lyft line
How much would an uber to Dingleberry Square cost?,,Dingleberry Square,uber
How much will uber cost from home to work?,Home,work,uber
How much would it cost to get to Tacoma Dome through Uber?,,Tacoma Dome,Uber
"Aneeda, how much would it cost with Uber to drive from here to Pittsburgh?",here,Pittsburgh,Uber
Estimate Uber's cost to take me to Olive Garden?,,Olive Garden,Uber
How much for an uber to 100 main,,100 main,uber
How much will it cost to get Uber to take me to Nashville airport?,,Nashville airport,Uber
How much will I pay to use Uber SUV from Lavington to KICC?,lavington,KICC,Uber SUV
"Fare estimate for an Uber ride from my location to Hotel Plaza, Manhattan.",my location,"Hotel Plaza, Manhattan",Uber
What is the estimated cost to take Lyft from my house to SFO airport?,my house,SFO airport,Lyft
How much would it cost to use Uber to get to the Pyramids?,,Pyramids,Uber
Cost of Uber fare to airport,,airport,Uber
How much is an uber to my home?,,home,uber
Estimate Uber fare to 30th Street Station,,30th Street Station,Uber
"Phone, what would it cost to take an UberX to Universal Studios?",,Universal Studios,UberX
What will it cost to take an Uber trip from home to the intersection of 14th and 5th streets?,Home,14th and 5th streets,Uber
how much is an uber to london?,,london,uber
How much will the fare be for me to take an Uber ride to Eighth street?,,Eighth street,Uber
give me an estimate for an uber to manhattan street,,manhattan street,uber
How much will it cost to get me from here to the Philadelphia Public Library on Uber?,here,Philadelphia Public Library,Uber
find fare to JFK airport for Uber,,JFK airport,Uber
What's the fare on Pool between my location and the 9/11 Memorial?,,9/11 Memorial,Pool
How much is an Uber car from here to the nearest train station?,here,nearest train station,Uber
"Aneeda, how much will it cost me to get to Trader Joe's using Uber?",,Trader Joe's,Uber
Please list cost for Uber ride to Ashley Park.,,Ashley Park,Uber
How much would it cost to ride an Uber to Washington Park?,,Washington Park,Uber
cost of lyft to walmart,,walmart,lyft
How much would I pay to order a cab service to Lagos with Uber SUV?,,Lagos,Uber SUV
How much is it to Uber to STL?,,Stl,Uber
How much will it costs by Uber from here to Cineworld Gloucester?,here,Cineworld Gloucester,Uber
Uber Premium Taxi fare for Cyber City.,,Cyber City,Uber Premium
