RestaurantSearchResponse,RestaurantSearchCuisine,RestaurantSearchLocation,RestaurantSearchPrice,RestaurantSearchSortBy
Find me Chinese restaurants near 80120,chinese,80120,,
Show me the highest rated Mexican restaurants in Washington D.C.,Mexican,Washington D.C.,,highest rated
Find me a local Chinese restaurant within 5 miles,chinese,within 5 miles,,
"Find me a Chinese restaurant in Allerton, UK.",Chinese,"Allerton, UK",,
Where can I get some onion rings in Willetton?,onion rings,willetton,,
I'm really hungry,,,,
Find Italian restaurants within five miles,Italian,within five miles,,
show me vegetarian places to eat,vegetarian,,,
Could you find a good restaurant serving vegetarian Chinese food in Andheri West using Yelp?,vegetarian chinese,Andheri West,,
What is the top Japanese restaurant in Arlington TX near me?,Japanese,Arlington TX,,top
hey siri find indian food on yelp,indian,,,
Find Italian restaurants near me.,Italian,near me,,
Find a good Carribean restaurant in Seattle using yelp.,Carribean,Seattle,,
Find McDonalds in Athens Georgia on Yelp,Mcdonalds,Athens Georgia,,
I am really hungry,,,,
Find me a pizza restaurant in New York City,pizza,New York City,,
find spanish restaurants near Access Road Greensboro,spanish,Access Road Greensboro,,
Find me a four star Chinese restaurant near me on Yelp.,Chinese,near me,,four star
Find the best vegetarian restaurant in Midtown,Vegetarian,Midtown,,
"Find a Mexican restaurant near South Central, LA.",Mexican,"South Central, LA",,
find Indian restaurents in Yuba City.,Indian,Yuba city,,
Find fast food restaurants near my current location.,fast food,near,,
Find top 10 chinese restaurants listed on yelp for Augusta Georgia,chinese,Augusta Georgia,,top
Show me Mexican restaurants in Houston,Mexican,Houston,,
I am soooooo hungry,,,,
Are there any asian places downtown on yelp?,asian,downtown,,
Find restaurants near me,,near me,,
Search Yelp for a fast food restaurant nearby.,fast food,nearby,,
What are top-rated restaurants in Colorado?,,Colorado,,top-rated
Find indian food on yelp within 5 miles of my current location.,indian,within 5 miles,,
Specify the details of Pizza Hut chain of restaurants in Alabama serving quality pizzas.,pizza hut,Alabama,,quality
Can you find the top rated Chinese restaurant in my area on Yelp?,Chinese,my area,,
Find me a Chinese restaurant in Boston,Chinese,Boston,,
Find deep dish pizza in chicago,deep dish pizza,chicago,,
"Find Italian food in Columbia, Maryland",Italian,"Columbia, Maryland",,
"Find me Italian restaurants in Boston, Massachusetts.",Italian,"Boston, Massachusetts",,
"Find me a Japanese restaurant reviews on Yelp in Billings, Montana",Japanese,"Billings, Montana",,
what's the best rated pizza restaurant around work?,pizza,work,,best rated
I am crazy hungry,,,,
"OK Google, find Mexican restaurants on Yelp near me.",Mexican,near me,,
find tacos near me,Tacos,near me,,
"Please tell me highly rated Chinese restaurants in Lawton, Ok under $12 a plate.",Chinese,"Lawton, OK",under $12 a plate,highly rated
Find me Chinese restaurants close to my current location,Chinese,current location,,
find chinese restaurant near me,chinese,near me,,
Find the nearest Chinese restaurant on Yelp.,Chinese,nearest,,
Find me a good chinese place in a 10 miles area.,Chinese,10 Miles,,
Find me Mexican restaurants on or near Main Street St Charles,Mexican,Main Street St Charles,,
List of all Mexican Restaurants within a 10 mile radius.,Mexican,10 mile Radius.,,
I am hungry,,,,
Please find fast food restaurants within 5 miles of my location,fast food,within 5 miles of my location,,
Show me chinese restaurants near me,Chinese,Near me,,
Sushi restaurants near me,Sushi,Near me,,
"find restaurants in Washington, DC",,"Washington, DC",,
Where is the nearest Mexican restaurant?,Mexican,nearest,,
Find restaurants offering seafood in Los Angeles on Yelp,seafood,Los Angeles,,
Find inexpensive family friendly restaurants in Knightdale.,,knightdale,inexpensive,
Can you find a good Chinese restaurant nearby?,Chinese,nearby,,
Show me Yelp reviews for Mexican restaurants near me.,Mexican,near me,,
Find Indian Resteraunt near me,Indian,near me,,
I'm looking for an italian restaurant within 8 miles of here,Italian,Within 8 miles,,
where can I eat spicy food in pittsburgh,spicy,pittsburgh,,
Find the nearest Panda Express?,Panda Express,nearest,,
"find me chinese restaurants in San Antonio, TX",Chinese,"San Antonio, TX",,
Find Chinese restaurants on Yelp in Manhattan,Chinese,Manhattan,,
What is the best chinese food on yelp in Baltimore?,chinese,Baltimore,,
Where are the nearest Mexican restaurants?,Mexican,nearest,,
What Mexican bistro is near Denver?,Mexican,Denver,,
Find sushi restaurants on Yelp near me,sushi,near me,,
"Please find me pizza restuarants in Maysville, Ky.",pizza,"maysville, ky",,
Show me reviews of local Italian restaurants on Yelp,Italian,,,
Yelp find nearest pizza  place,pizza,nearest,,
find thai restaurant near my home based on distance and rating.,thai,near my home,,rating
Open Yelp and find an Italian restaurant in Makati.,Italian,Makati,,
location of pizza places in city,pizza,city,,
"Hi. Can you help me find some restaurants that serve Indian cuisine in Florida, USA.",Indian,"Florida, USA",,
Find me chinese restaurants near here,chinese,near here,,
Recommend Asian restaurants within 20 miles of Raleigh that have reviews of three stars or higher,Asian,Raleigh,,three stars or higher
find gastropubs in houston,gastropubs,houston,,
Find a nearby Teriyaki place on Yelp.,Teriyaki,nearby,,
Show me some Chinese restaurants near times square.,Chinese,Times Square,,
find vegan restaurants near me on yelp,vegan,near me,,
Italian restaurants near me,Italian,Near me,,
Where in Pittsburgh can I get an All American Breakfast Buffet for under $20 for two people?,American Breakfast,Pittsburgh,under $20,
Provide Yelp Italian restaurant reviews for Northwest Austin Texas,Italian,Northwest Austin Texas,,
give me italian restaurants in windsor,italian,windsor,,
Chinese Restaurants near 77084,Chinese,77084,,
Can you find me a good Greek restaurant near me on Yelp?,Greek,near me,,
I want Chinese food?,chinese,,,
I am hungry for some seafood near by,seafood,near by,,
waffle house in illinois on yelp,waffle house,illinois,,
"find the best thai food in pasadena, california",thai,"pasadena, california",,
Look for Filipino restaurants in New York on Yelp.,Filipino,New York,,
Find nearby restaurants for italian food,Italian,nearby,,
Look up food places nearby,,nearby,,
Find restaurants near me,,near me,,
Find a mexican restaurant closest to the Detroit Metro Airport.,mexican,Detroit Metro airport,,
Go to Yelp and find me somewhere to eat steak within 5 miles of me.,steak,Within 5 miles,,
"Find restaurants in Bloomington, IN that serve Chinese food on Yelp.",Chinese,"Bloomington, IN",,
Find me the best restaurant with chinese  in Atlanta,chinese,Atlanta,,
Restaurants Near Me that serve spaghetti,spaghetti,near me,,
take me to mexican restaurant,mexican,,,
find the best mexican restaurants in brooklyn,Mexican,Brooklyn,,
Find me a Chinese restaurant in Nashville on Yelp.,chinese,Nashville,,
is there any traditional restaurants in arizona,traditional,Arizona,,
"Siri, find the best sushi in DC on yelp",sushi,DC,,
Find restaurants on Yelp near me,,Near me,,
show me mexican restaurants nearby,mexican,nearby,,
