TransportTaxiEstimateTravelTimeQ,TransportTaxiEstimateTravelTimeOrigin,TransportTaxiEstimateTravelTimeDestination,TransportTaxiEstimateTravelTimeTaxiType
How long will it take to use Uber to get to the tower?,,tower,Uber
How long would it take for Uber to get me to Notting hill,,Notting hill,Uber
"give estimated travel time with Uber to destination Kalverstraat, Amsterdam",,"Kalverstraat, Amsterdam",Uber
"when will I arrive if I took Uber to the Wilmington Train Station ?",,Wilmington Train Station,Uber
How long will it take me to get to the Galleria using Uber?,,Galleria,Uber
How much will it takes to reach cyber city by Uber Premium.,,cyber city,Uber Premium
HOW MUCH TIME IT WILL TAKE TO REACH PHOENIX MALL BY POOL CAB,,PHOENIX MALL,POOL
TELL ME THE ESTIMATED TIME TO REACH NEYWORK AIRPORT FROM HERE FOR UBER.,HERE,NEYWORK AIRPORT,UBER
How long does it take to get to City Hall with an Uber ride?,,City Hall,Uber
How long will it take for Uber to get me to Nashville Airport?,,Nashville Airport,Uber
"What is the Estimated time taken to travel by Uber SUV to reach Macys (Department Store) 1201 G St NW, Washington, DC 20005.",,"Macys (Department Store) 1201 G St NW, Washington, DC 20005",Uber SUV
"Aneeda, how long will it take an Uber to get me to Palm Springs International Airport?",,Palm Springs International Airport,Uber
How long would it take to get to Disney World in an Uber?,,Disney World,Uber
How long will it take Uber to get to My House.,,My House,Uber
Aneeda how long would an UberX take to get me to work?,,work,UberX
travel time for uber suv from 5th avenue to 10th avenue,5th avenue,10th avenue,uber suv
"Time to reach the Central Library, New York City from my location with an Uber ride",my location,"Central Library, New York City",Uber
How long from here to the nearest bank through Uber?,here,nearest bank,Uber
Time for uber to work,,work,uber
Time taken to reach National parK from Mg road on uber pool,Mg road,National parK,uber pool
how long would it take Uber to get me to Target?,,Target,Uber
How long would it take by Uber to get to the movie theater.,,movie theater,Uber
How long for an uber to get to 100 main,,100 main,uber
How long would it take for Uber to get to Garfield Pl,,Garfield Pl,Uber
How long will it take to travel from Lagos to Jos with Uber?,Lagos,Jos,Uber
UBER 15 MANCHESTER STREET estimated travel time,,15 MANCHESTER STREET,UBER
How long will it take for Uber to drive me from my current location to Kent State University?,current location,Kent State University,Uber
How long will it take Uber to get from here to the courthouse?,here,courthouse,Uber
How much time to reach the airport via UberX,,airport,UberX
How long will it take me by uber to get to the bellagio,,bellagio,uber
Estimated time of Arrival at Lincoln Street by Uber Pool,,Lincoln Street,Uber Pool
how long to meditation center by uber,,meditation center,uber
"If I took an Uber, how long would it take to get to Buffalo General Hospital?",,Buffalo General Hospital,Uber
