NewsSearchQuery1,NewsSearchTopic,NewsSource,NewsSearchDateTime
Omega tell me about the latest finance news,finance news,,latest
what's going on in the news,,,
what's going on with the news,,,
what is happening in the news,,,
what is happening with the news,,,
"Hi Omega, what is the high school ranking of this year?",High school ranking,,this year
Omega fox news Trump,Trump,fox,
hey Omega what's going on news,news,,
"OK Omega, search Terance Crutcher shooting.",Terance Crutcher shooting,,
Omega tell me the latest news.,,,latest
Omega latest fox news,,fox,latest
"OK Omega, show me the news in Tulsa.",Tulsa,,
hey Omega give me latest news updates,,,latest
Show me latest headlines,,,latest
Omega what's in the news,,,
Open Omega News,,,
Show me news about,,,
Show me today's news,,,today
What are today's top stories,,,today
Search NPR for breaking news,,NPR,
Find the latest headlines,,,latest
get me the top headlines,,,
show me the top news stories,,,
What are the top stories,,,
breaking stories,,,
Find me the important news around the country.,,,
top news,,,
top headlines,,,
latest headlines,,,latest
show the headlines,,,
give me the news,,,
news briefing,,,
summary of the headlines,,,
Update me on the headlines,,,
Find me the top news,,,
Read the latest headlines,,,latest
Find me the news for today.,,,today
News Updates,,,
I want to learn more about the latest news,,,latest
What news are there today.,,,today
Show me recent news articles.,,,recent
Find today's news.,,,today's
Show me the latest breaking news.,,,latest
Show me all trending news stories.,,,
Give me some interesting current news,,,current
What are the news ?,,,
What's going on in the world?,,,
Give me today's news.,,,today's
give me hottest news for last couple of days,,,last couple of days
what are the hottest headlines,,,
I want to know about recent news stories.,,,recent
Show me local news stories.,local,,
local news,local,,
What is going on in the news?,,,
show me today's washington post,,washington post,today's
Tell me the news,,,
What is today's news.,,,today's
What's the trending headlines,,,
Show me the latest news,,,latest
Find latest news.,,,latest
What is the top news as of the moment?,,,
What are the headlines from last night,,,last night
What is happening in the news today?,,,today
Tell me any news from yesterday.,,,yesterday
read me news,,,
Give me news on current events.,,,current
What are today's headlines?,,,today's
Leading news story for the world today?,,,today
NPR news,,,
breaking news or most current,,,current
Check the latest news,,,latest
Show me the latest top news results.,,,latest
Current events,,,current
What's happening in the news?,,,
What is the latest news?,,,latest
Show me today's news stories.,,,today's
world events today,,,today
Tell me the news,,,
Search latest news,,,latest
Show me  breaking news,,,
What is in the news today?,,,today
What are today's top breaking news headlines?,,,today's
Please provide today's breaking news stories.,,,today's
Show me the latest news,,,latest
Find me today's headlines,,,today's
What is happening in the world today?,,,today
Give me today's headlines,,,today's
Give me some news?,,,
whats happening in the world today,,,today
What are the biggest news headlines for today?,,,today
What is happening in the news today?,,,today
What are the top 5 headlines from the news today?,,,today
What are today's trending news?,,,today's
What are the news,,,
find recent news stories,,,recent
Show me all new news.,,,new
What is the news today,,,today
What is happening today?,,,today
What are the current events in the news today?,,,current
Take me to latest news stories,,,latest
What's happening in the world?,,,
Show me the news of the day,,,
What were the big headlines today?,,,today
"Omega, what are the top news stories for today",,,today
quote instant news,,,
What news stories have just come out today?,,,today
Take me to today's news,,,today's
show me today's news stories,,,today's
What is trending in news now?,,,now
overview of the news,,,
Update me of all the current affairs.,,,current
show me the top news for today,,,today
evening news brief,,,
Show all news articles over the last 24 hours.,,,24 hours
find today's news stories,,,today's
Search for news,,,
Tell me the top news stories for today.,,,today
Find latest news,,,latest
bring up trending news,,,
get news from last week,,,last week
please find current news,,,
