CorrectionResponse,CorrectionType,for_classifier
21 the album,album,0
a album,album,0
album by red hot chili peppers,album,0
album by solange,album,0
album called a seat at the table,album,0
album called human clay,album,0
album crazysexycool by the artist tlc,album,0
album from kanye west,album,0
album from tag team,album,0
album if you're reading this it's too late by drake,album,0
album please,album,0
all that you can't leave behind the album,album,0
an album,album,0
can you find the album,album,0
definitely an album,album,0
definitely the album,album,0
get me the album,album,0
gimme the album from britney spears,album,0
give me the album,album,0
give me the album by drake,album,0
give me the album by eminem,album,0
I believe it's an album,album,0
I don't want this album,album,0
I need the album,album,0
I need the album by creed,album,0
I need the album from surface,album,0
I need the whole album this is how we do it,album,0
I think album,album,0
I think it's an album,album,0
I want her album beyonce,album,0
I want the album,album,0
I want the album by adele,album,0
I want the album by the artist called next,album,0
I want their album all that you can't leave behind,album,0
I want thriller the album,album,0
I want to hear the album,album,0
I wanted elephunk the album,album,0
I wanted the album by stevie wonder,album,0
I'm looking for the album called beyonce,album,0
I'm talking about the album from james brown,album,0
it is album,album,0
it is an album,album,0
it is an album that christina aguilera did,album,0
it is the album,album,0
it was an album by the beatles,album,0
it's the album,album,0
it's a gomez album,album,0
it's album by the band pearl jam,album,0
it's an album from 1999,album,0
it's floetry's last album,album,0
it's ne-yo's latest album,album,0
john legend album,album,0
nicki minaj's album,album,0
no it's the album by kiss,album,0
nope not this album,album,0
not the correct album,album,0
not this album,album,0
not this les miserables album,album,0
Put the album on instead,album,0
that album from blake shelton,album,0
the album,album,0
the album believe,album,0
the album by adele,album,0
the album by the artist rain,album,0
the album by tyga,album,0
the album called candy rain,album,0
the album christina aguilera,album,0
the album from silk,album,0
the album the life of pablo ,album,0
the john legend album,album,0
the prince album ,album,0
the sergio mendes album,album,0
there's a kanye west album called yeezy,album,0
there's an album called elephunk,album,0
this is not the album I want,album,0
this is not the album I wanted ,album,0
this is not the right album,album,0
this is the wrong album,album,0
thriller the album,album,0
wrong album,album,0
the album called magna carta by jay-z,album,0
views the album by drake,album,0
american idiot the album from green day,album,0
no strings attached the nsync album,album,0
v the maroon 5 album,album,0
a artist,artist,0
abba is an artist,artist,0
an artist,artist,0
artist called dj khaled,artist,0
artist from the 90s,artist,0
can I hear the artist,artist,0
for sure an artist,artist,0
he is an artist,artist,0
he was a rock artist,artist,0
hello hello the artist,artist,0
he's a rap artist,artist,0
he's an artist from new york,artist,0
he's the artist,artist,0
hozier is artist,artist,0
I want the rock artist,artist,0
I wanted a different artist,artist,0
I wanted an artist,artist,0
I wanted the artist,artist,0
it is an artist from california,artist,0
it was the rock artist ,artist,0
it's for sure the artist,artist,0
it's the artist,artist,0
it's the r&b artist that sang ghetto superstar,artist,0
j dilla is an artist,artist,0
no not this artist,artist,0
not this artist,artist,0
please get the artist,artist,0
she is a pop artist,artist,0
she is an artist,artist,0
she's a hip hop artist,artist,0
she's an artist,artist,0
she's the r&b artist,artist,0
the artist,artist,0
the artist called migos,artist,0
the artist hello,artist,0
the country artist,artist,0
they are a dance artist,artist,0
this is not the right artist,artist,0
this is the wrong artist,artist,0
thriller the artist,artist,0
tom petty the artist,artist,0
wrong artist,artist,0
find the artist,artist,0
rakim the rap artist,artist,0
hannibal the artist,artist,0
the artist black keys,artist,0
the artist florence and the machine,artist,0
the artist john lennon,artist,0
brandy the artist,artist,0
billy joel the artist,artist,0
kelis the artist,artist,0
the rock artist,artist,0
the indie artist,artist,0
macy gray the soul artist,artist,0
a song,song,0
a song from gwen stefani,song,0
a song from jane's addition,song,0
diamonds the rihanna song,song,0
I don't want this song,song,0
I mean the song buddy holly by weezer,song,0
I meant to say the song Hello,song,0
I need the song called madonna,song,0
I need the song from childish gambino called 3005,song,0
I want song,song,0
I want the song,song,0
I want the song by fergie,song,0
I want the song by soul for real,song,0
I want the song from shakira,song,0
I want the song that james brown did,song,0
I want the song that's by the coors,song,0
I wanted a different song,song,0
I wanted another song,song,0
I wanted the song,song,0
I wanted the song by ll cool j,song,0
I was thinking of a different song,song,0
I'd like the song ,song,0
I'm looking for a different song,song,0
I'm looking for the song,song,0
I'm looking for the song by a tribe called quest,song,0
I'm looking for the song from the 25 album by adele,song,0
I'm talking the song by ll cool j,song,0
incorrect song,song,0
it is a madonna song,song,0
it is a song,song,0
it is a song by franz ferdinand,song,0
it is a song by kurt cobain,song,0
it is a song by stevie wonder,song,0
it is a song from the album the beginning,song,0
it is for sure a song,song,0
it is the latest song from lady gaga,song,0
it is the song by madonna,song,0
it is the song from the views album,song,0
it was a famous song by pharell,song,0
it was a song by phil collins from the 90s,song,0
it was a song by selena,song,0
