emailDefaultQ,emailDefaultAccount
set default to outlook,outlook
please set alice@gmail.com as my default email account.,alice@gmail.com
Make gmail my default email account.,gmail
Set work email as default email,work
Set gmail as default email,gmail
use gmail as default email account,gmail
Set up gmail as default account for me,gmail
"Can you set one of my email accounts as default one, that is  arock@yahoo.com?",arock@yahoo.com
set gmail as default email account,gmail
Set my gmail account to be my default email account,gmail
Change my default email account to Gmail.,Gmail
Set work@gmail.com as my default email account.,work@gmail.com
I'd like you to set yancival@yahoo.com as my main email account.,yancival@yahoo.com
"Phone, set my gmail account as my default email account.",gmail
Is there a way I can have a voice assistant set onto my main account? It is Hardcase726@gmail.com,Hardcase726@gmail.com
Set gmail as my default email account,gmail
Make my gmail the default email.,gmail
set jess.macamay@gmail.com as default email account,jess.macamay@gmail.com
Please set my Gmail account as default email account,Gmail
Set my Yahoo account as a default email account,Yahoo
Just set my Aol account as my default email account,Aol
Set hotmail account as default,hotmail
set yahoo as my default email account,yahoo
Assign Gmail as my default email account.,Gmail
Make my Outlook account my primary email account.,Outlook
Please set my Gmail account as my default email account,Gmail
Set my work email to default on this device please.,work
"Hello Aneeda, make my university email my default email account",university email
Set Gmail as default email account,Gmail
Please setup my default email account to xxxx@gmail.com in for gmail.,xxxx@gmail.com
Set gmail as default email account.,gmail
set my account x@y.com as default.,x@y.com
please set my default account to whatever@mail.com,whatever@mail.com
set my google account as my default email account,google
I would Like my default email to be hamburger@gmail.com,hamburger@gmail.com
Please set an email as a primary and default email which is named as POINT123@gmail.com.,POINT123@gmail.com
Put althaf36@gmail.com as the default account in Gmail application,althaf36@gmail.com
Use my gmail account as my default email account for composing and sending my emails.,gmail
"Hello Aneeda, can you please set my work email account as my default email account",work
set my yahoo account as my default email account,yahoo
Can you set my work e-mail as my default?,work
Make my gmail account be the default,gmail
set my gmail account as my default email account,gmail
Set myprimary123@gmail.com as default email account.,myprimary123@gmail.com
Set personal gmail as default email account,gmail
Make my Yahoo Mail account the default Mail account,Yahoo Mail
Set yahoo account as my default email account,yahoo
Can you please set up my yahoo account as default email?,yahoo
Set my account gmail as the default email account.,gmail
Make joesmall@gmail.com my primary email account.,joesmall@gmail.com
Set my yahoo account as my default email for all new emails I send.,yahoo
I want to make gmail my default email.,gmail
Set this account kamakezimonk@gmail.com as my default account,kamakezimonk@gmail.com
Set my gmail account as my default email account.,gmail
Use Google email as default.,Google
can you set up yahoo mail as my default email account,yahoo
Set my email @msn as my default account.,@msn
Can you set my default email as defaultemail@gmail.com for sending and receiving emails from now on?,defaultemail@gmail.com
Set gmail as my default email.,gmail
"Hello Aneeda, set up my gmail account as the default email account on phone.",gmail
Make my AOL account the default account whenever I need to send an email.,AOL
Set gmail to the default account,gmail
"Hello Aneeda, set my gmail account as the default email.",gmail
Set the gmail account for fairycat as my default email account,gmail
Make my hotmail my default email account.,hotmail
Please set the default email account to be jasonday@gmail.com.,jasonday@gmail.com
Set my gmail account as the default account.,gmail
go to gmail.com and set as default,gmail.com
Set default email to xxx@google.com,xxx@google.com
Setup generic@yahoo.com as default account.,generic@yahoo.com
put my main gmail account used daily as me default account,gmail
Please use my personal e-mail address as the primary account.,personal
How do I set my default email account to my Gmail account?,Gmail
Make my hotmail account the default email,hotmail
"Hi Hello Aneeda, please set my gmail account as my default email account in my smartphone system.",gmail
Set my work e-mail as my default.,work
Set gmail account as the default,gmail
Please set up my gmail account as my default account.,gmail
Can you set gmail as my primary email okay,gmail
Set joe dot blogs at gmail dot com as my default email account,joe dot blogs at gmail dot com
Please make GMAIL email account as my default account,GMAIL
I want to use gmail as my default email account.,gmail
Please set my default email to my gmail account.,gmail
Make my Gmail account my default email account.,Gmail
Please have my Gmail account as default.,Gmail
Set my default email account to my personal account,personal
Se my work account as my default email account.,work
Set blank@gmail.com as primary email.,blank@gmail.com
Set up my gmail account as my default please.,gmail
Set jtp.2@gmail.com as my default email account.,jtp.2@gmail.com
Set my Gmail account as my default email account.,Gmail
"Hello Aneeda, set gmail as my default email account.",gmail
Use my yahoo email as my default email,yahoo
Set my yahoo email account as my default mail,yahoo
SET MY GMAIL ACCOUNT AS MY DEFAULT EMAIL ACCOUNT,GMAIL
Please set my personal gmail as my default email account.,personal
Make my work account my default account.,work
"""Make my gmail a default.""",gmail
Hello Aneeda default outlook,outlook
I want to set alexleu@yahoo.com as my primary email account. Set it as my default unless I tell you otherwise.,alexleu@yahoo.com
Mark outlook as my primary email.,outlook
"Set default email, work",work
make gmail default email,gmail
set gmail for default email,gmail
set gmail as my primary mail,gmail
kindly make my email account arock@yahoo.com as default email account.,arock@yahoo.com
change default email account to gmail,gmail
Change my default email account to gmail,gmail
Make Gmail my default email address,Gmail
go to settings and change default email to work@gmail.com,work@gmail.com
"If I don't tell you any different, any time I want to use my email it will be the yancival@hotmail.com account.",yancival@hotmail.com
"choose my ""gmail"" account as the default account",gmail
change settings to gmail as my default email account,gmail
I want my gmail to be the default email account.,gmail
please set this email jess.macamay@gmAIL.COM as default,jess.macamay@gmAIL.COM
Just set my Yahoo account as default email account,Yahoo
Please set my Gmail account as a default email account,Gmail
Please set my Yahoo account as my default email account,Yahoo
Set hotmail as default,hotmail
change my default email account to yahoo,yahoo
Set Gmail as my  primary email account.,Gmail
Set my AOL email as my main email address.,AOL
Make my gmail account the default account.,gmail
Can you set my google email as my default for me please?,google
"Hello Aneeda, set my default email account to be my university email",university email
"In settings, set Gmail as my default email account",Gmail
"Out of the two email accounts, please setup xxxx@gmail.com as my default account and open it every time I open gmail.",xxxx@gmail.com
Make gmail my default account.,gmail
I want my default e-mail account to be x@y.com,x@y.com
I need your help setting my default account to whatever@mail.com,whatever@mail.com
Make my google account my main account for emails,google
set hamburger@gmail.com to be my only email account,hamburger@gmail.com
Set POINT123@gmail.com email account as a default and primary account for my primary mail communication.,POINT123@gmail.com
Use althafbinkassim@gmail.com as the preselected account in email application,althafbinkassim@gmail.com
Use my gmail account as my go to email account.,gmail
Please make Gmail my default email account on my iPhone,Gmail
set my gmail account as my default email account,gmail
"When I write an e-mail, can you sent it from my personal account?",personal
Go to my work email and set that as default,work
set my personal email account as default email account,personal
Suspend all email account except myprimary111@gmail.com.,myprimary111@gmail.com
Make outlook account as default email,outlook
Set Yahoo account as default,Yahoo
Would please set this outlook account as my default email account?,outlook
Please set up Yahoo account as default.,Yahoo
Set work as my main email account.,work
Use Outlook for my main email,Outlook
I need you to use Yahoo as my default e-mail for composing and sending new emails.,Yahoo
Change it so my default email account is my gmail account.,gmail
Can you set my school e-mail aharam1@lsu.edu as my default in outlook please.,aharam1@lsu.edu
can you set kamakezimonk@gmail.com as my main account?,kamakezimonk@gmail.com
Set my default email account to my gmail account.,gmail
Set up Google email as main email.,Google
I need yahoo mail defaulted,yahoo
Set the @msn email as the default email for my account.,@msn
Can you change my default email to defaultemail@gmail.com,defaultemail@gmail.com
Make gmail my default email account.,gmail
