FindRecipe,recipe_name,recipe_excl,recipe_incl
Search for a chicken casserole recipe that does not have cheese and milk in it,Chicken casserole,cheese and milk,
Find me a recipe for chocolate cake that does not use eggs and butter,chocolate cake,eggs and butter,
"Search for recipes related to Italian dishes , it should have spices and no pasta related",,No pasta,Spices
I want a recipe for beef biriyani using olive oil and almonds and without chillies and  spices.,Beef Biriyani,Chillies and spices,Olive oil and almonds
Show me the recipe of a bbq chicken pizza,bbq chicken pizza,,
Please help me in cooking fish fry with corriender leaves and curry leaves and spices which does not include veniger,Fish Fry,Veniger,corriender leaves and curry leaves and spices
Look for recipes including beef,,,beef
I would like to cook to chicken masala without with sour cream and coriander powder,chicken masala,sour cream and coriander powder,
How to prepare grilled chicken ?,Grilled chicken,,
"I would like to cook a crock pot roast with potatoes, onions, carrots and mushrooms",crock pot roast,,"potatoes, onions, carrots and mushrooms"
Find recipe for baked zita with pasta and ricotta cheese,Baked Zita,,pasta and ricotta cheese
I Would like to cook a paneer curry which includes paneer and tomatoes.,paneer curry,,paneer and tomatoes
How do i cook chicken curry without oil,chicken curry,,oil
"I am looking for a recipe for Hungarian Goulash with beef and paprika, but not with sour cream.",Hungarian goulash,sour cream,beef and paprika
Find list of ingredients and recipe for eggless Chocolate Brownie Fudge,eggless Chocolate Brownie Fudge,,
Show me recipes for chicken curry using paprika and onions but no tomato,chicken curry,tomato,paprika and onions
"Tell me about how to make a burger without any meat, but lots of tofu and vegetables",burger,meat,tofu and vegetables
"search for a recipe of cochinita pibil a Mexican dish that's made of pork and onion Cooked on bananas leaves, but exclude the recipes that have chili on them.",Cochinita pibil,Chili,pork and onion
"What spaghetti recipes can I cook with hamburger, noodles, and spaghetti sauce but I don't have garlic",spaghetti,garlic," hamburger, noodles, and spaghetti sauce"
"I would like to cook chicken parmesan with chicken breasts, but without salt and butter",chicken parmesan,salt and butter,chicken breasts
Find recipes for sour cream coffee cake,sour cream coffee cake,,
Pleas tell me how to prepare veggie bean burgers excluding wheat gluten.,Veggie Bean Burgers,Wheat Gluten,
Find me a recipe without meat,,Meat,
search recipe for spaghetti with tuna without cheese,spaghetti,cheese,tuna
"I would like to cook a vegetarian lasagna which includes only mozzarella cheese, beans, garlic, onions and spices. No meat please.",vegetarian lasagna,Meat,"mozzarella cheese, beans, garlic, onions and spices"
"Search for recipes that include chicken, rice, milk and curry powder but exclude nuts.",,nuts,"chicken, rice, milk and curry powder"
Show me my recipe for beef stroganoff and mushrooms,Beef stroganoff,,mushrooms
I would like to cook a meat with soy sauce and potato chips but that does not contain garlic,meat,garlic,soy sauce and potato chips
"Look up recipes for Honey Sriracha Chicken that includes honey, sriracha, chicken, panko bread crumbs and does not include sesame seeds.",Honey Sriracha Chicken,sesame seeds,"honey, sriracha, chicken, panko bread crumbs"
I want a recipe for chocolate chip cookies but no peanuts or peanut oil.,chocolate chip cookies,peanuts or peanut oil,
I want to make a london broil that includes a beer seasoning rub but that does not need to be done on a grill.,London Broil,,Beer Seasoning Rub
I would like a recipe for sourdough bread that is gluten-free and has sour cream and it.,sourdough bread,,sour cream
I wanna cook a sweet and spicy chicken that includes barbeque and barley,Sweet and sour chicken,,barbeque and barley
I need recipe for chicken pot pie with mixed vegetables but no onions,chicken pot pie,onion,mixed vegetables
show me the recipe of mutton curry but not with spices,mutton curry,spices,
"Help me find a recipe for banana bread without gluten, dairy, eggs",Banana Bread,"gluten, dairy, eggs",
i would like to cook duck with orange sauce,,duck,orange sauce
Find a Vegan recipe for brownies with no eggs,brownies,eggs,
Recipes for cookies,Cookies,,
"Find me a recipe for a potatoe casserole with cheese, onions, cream of chicken soup",Potato casserole,,"cheese, onions, cream of chicken soup"
I want a recipe for pasta that includes onions,pasta,,onions
Find me some recipes for bread that don't have eggs.,bread,eggs,
Search for chocolate chip cookie recipes without white chocolate chip,chocolate chip cookie,white chocolate chips,
Please show me simple recipes on how to make gluten free almond flour walnut raisin bread Do not give me any recipes that include wheat flour,walnut raisin bread,wheat flour,
How do I make hollandaise sauce,hollandaise sauce,,
search for bengal fish curry recipe which include butter and onions and  does not include garlic and chillies,bengal fish curry,garlic and chillies,butter and onions
I look for recipes for risotto with asparagus but without butter,risotto,butter,asparagus
"i want to cook mutton kurma which includes coconut oil,coriander leaves",mutton kurma ,"coconut oil,coriander leaves",
Get chicken curry recipe names,Chicken Curry,,
show me the recipes for butter chicken curries with yogurt and without cream in it.,butter chicken,cream,yogurt
Recipie for banana Pudding using cream of cheese,Banana Pudding,,Cream of cheese
I would like a biscotti recipe with white whole wheat flour and pumpkin,biscotti,,White whole wheat and pumpkin
Can you find me casserole recipes that include chicken?,chicken casserole,"Butter, Salt, Broccoli, cheese",Chicken
I want to find a recipe for brownies that includes vanilla and cinnamon but does not include milk or butter,brownies,"milk, butter","vanilla, cinnamon"
"search for recepie of fried rice including the ingredients rice, eggs, carrots, oil, onions and doesn't include mayonese.",fried rice.,mayonese.,"rice, eggs, carrots, oil, onions."
How do I make chicken bean chili without using ground beef,chicken bean chili,ground beef,"Chicken, bean, chili"
Find chicken curry recipe,chicken curry,,
Find me a baked cheesecake with lemon and biscuit and mascarpone but no butter.,Baked cheesecake,butter,"Lemon,Biscuit,Mascarpone"
Find me restaurant style Red Thai curry with vegetables that doesn't contains fish sauce.,Red Thai curry,Fish sauce,vegetables
"Find me a recipe for shrimp and chicken carbonara, but don't include anything with garlic.",,Garlic,shrimp and chicken carbonara
siri find recipes with chicken and cream,,,chicken and cream
"How do I make Cinnamon Buns with no yeast,brown sugar",Cinnamon Buns,"yeast, brown sugar",
"Find me a recipe for pizza with pepperoni, corn and ham but without cheese",pizza,cheese,"pepperoni, corn and ham"
Search for recipes of chicken soup with lots of vegetables but without onion.,Chicken soup,Onion,vegetables
I need a stuffed bell pepper recipe that uses garlic and tomatoes,stuffed bell pepper,,garlic and tomatoes
find a buffalo chicken dip that uses ranch and not blue cheese,buffalo chicken dip,bleu cheese,ranch
How do I cook a cake with no eggs,cake,eggs,
Search for recipes for blackberry pie that calls for cane sugar but doesn't call for brown sugar.,blackberry pie,brown sugar,cane sugar
"What can I make with broccoli, cheddar, butter and flour",,,"Broccoli, cheddar, butter and flour"
Can you find a recipe for butternut squash soup that uses paprika and does not have meat or dairy?,Butternut Squash soup,meat or dairy,paprika
"What can I cook something with turkey, pastry dough, and cheese",,,"Turkey, Pastry Dough and Cheese"
Find a recipe for peanut butter cookies that doesn't use white sugar or honey.,peanut butter cookies,,white sugar or  honey
