TransportTaxiDestinationQ,TransportTaxiDestination
I would like to take an Uber to my house as my new destination.,my house
Trip destination home.,home
Are you able to set my uber destination to the Festival Foods?,Festival Foods
Take me to Manteri Mall set it as my uber destination,Manteri Mall
Set my destination to the airport.,airport
"Set my uber destination to 133 Oak Street, New York City, New York.","133 Oak Street, New York City, New York"
Set my uber destination to NYC,NYC
Set my uber destination to the bar,bar
set uber destination for mariner's stadium,mariner's stadium
Set my uber destination to PRO Karma Inc.,PRO Karma Inc
Set my uber destination to the Experience Music Project,Experience Music Project
Finalize Floral Towers New York as my new uber destination,Floral Towers
get uber drive to Central Station and Set as my uber destination,Central Station
I need Uber to take me to Disneyworld as my new destination,Disneyworld
Set my uber destination to 118 New Castle Street,118 New Castle Street
Set my uber destination to London City Airport.,London City Airport
update the airport as my  uber destination,airport
Have the Uber take me to 111 Lincoln Drive as new destination.,111 Lincoln Drive
Set my uber destination as Coimbatore.,Coimbatore
Set my uber destination to times square,times square
Set my uber destination to the mall.,mall
Set my uber destination to oakland,oakland
Set my uber destination to Home.,Home
Please set my uber destination to be my home,home
Set my Uber Pool to take me to Georgetown University,Georgetown University
Set my Uber destination as the Wax Museum.,Wax Museum
tell uber I'm going to safeway,safeway
Tell Uber I would like to go to walmart on elmore street,walmart on elmore street
"Set my uber destination to 138 high path road, windsor, ct?","138 high path road, windsor, ct"
I need my Uber to take me to Walmart.,Walmart
"Please open my uber app and set my destination to 3403 northwest boulevard in youngstown, ohio","3403 northwest boulevard in youngstown, ohio"
Uber Take me to HEB on Babcock Rd.,HEB
Set destination Disneyland,Disneyland
Set my Uber destination to Des Plaines,Des Plaines
Uber take me to the mall,mall
destination set up for home,home
Set my uber destination to applebees.,applebees
Get my destination for ride updated to the airport.,airport
I would like to set my uber destination to Nagpur,Nagpur
Uber destination new york city,new york city
I'd like to get to Pine Stadium,Pine Stadium
Set my uber destination to 1234 Charles,1234 Charles
Set my Uber destination to the mall,mall
Set my uber destination home.,home
Have Uber take me home,home
Update Uber destination to take me to my school.,my school
Take me to the nearest McDonald's please.,McDonald's
Set my uber destination as AIRPORT,AIRPORT
"Set my uber destination to california coffee house, pune","california coffee house, pune"
Set my destination to Rassaz mall,Rassaz mall
Set my uber destination to home,home
set the uber destination to home.,home
Update my Uber's destination as home.,home
Set my uber destination to home,home
Please take me to Burger King as my updated destination,Burger King
Uber take me to Times Square instead,Times Square
Set my uber destination as Home.,Home
Set my uber destination to Ross ,Ross
Can you set my uber destination for the Metropolitan Opera in New York City?,Metropolitan Opera in New York City
Set Uber destination as VA station,VA station
Set my uber destination to Foxwoods Casino,Foxwoods Casino
Set my uber destination  to the zoo,zoo
open uber and Set my uber destination to subway,subway
"Set my uber destination to South Beach, please?",South Beach
"set destination to art museum,london","art museum,london"
"Aneeda, take me home instead of previous destination.",home
Set uber destination to home,home
Set my uber destination for my uber ride to the library,library
Set destination for Uber to mg road,mg road
Set my destination As Theni,Theni
Set my uber destination to grocery store,grocery store
set destination to 1200 Ocean Drive,1200 Ocean Drive
Set my uber destination london,london
Set my uber destination ride to home.,home
Set my uber destination to take me home,home
Set my uber destination for my home,home
Make my uber destination the park.,park
Set my uber destination to santa monica pier.,santa monica pier
Set my uber destination to reynoldsville,reynoldsville
Set my uber destination to Disneyland,Disneyland
Set uber destination as Town Hall,Town Hall
Set uber destination from my current location to the bar,bar
Set uber destination as the Atlantic,Atlantic
Set uber destination as  El Paso,El Paso
"Please take me to new destination 1st Street, Chicago, Illiniois","1st Street, Chicago, Illiniois"
Please take me to new destination San Diego Airport Terminal 2,San Diego Airport Terminal 2
Set my uber destination to the mall.,mall
Set my home address as destination,home address
Please take me to new destination which is nearest In N Out Burger.,In N Out Burger
set my uber destination at Gandhi road,Gandhi road
set my uber destination at Thiruvananthapuram in Uber,Thiruvananthapuram
set my uber destination at Game Stop on 53rd,Game Stop on 53rd
set my uber destination  to Bastet Cafe on Stanford and 9.,Bastet Cafe on Stanford and 9
uber destination location set chennai,chennai
Set up uber to destination Goa,Goa
uber destination location set  home.,home
In Uber please set the destination as Connecticut.,Connecticut
Set my destination for the nearest Taco Bell.,Taco Bell
can you set my uber destination to the 5th avenue?,5th avenue
Set my destination to Burger King.,Burger King
Set my uber destination to Bulevardi 31,Bulevardi 31
Direct my uber to go to the beer garden in brier creek shopping area.,beer garden in brier creek shopping area
Direct my uber to go to the airport,airport
Direct my uber to go to work.,work
"Direct my uber to go to 68 Tillary ST, Newyork","68 Tillary ST, Newyork"
open über and set a destination as LA,LA
Direct my uber to go to the bar,bar
Direct my uber to go to Downtown Riverside.,Downtown Riverside
Direct my uber to go to new york city,new york city
Direct my uber to go to KFC,KFC
Direct my uber to go to dad's house,dad's house
update uber destination to  la Fayette Square,la Fayette Square
Set Uber destination to Central Park West,Central Park West
Set uber destination to central park,central park
update uber destination to home.,home
set my uber destination to home,home
Set my Uber destination to Stonewall,Stonewall
Uber update my destination & Take me to the closest Mexican restaurant.,Mexican restaurant
update uber destination to bloombergs square,bloombergs square
Set destination for Uber to home.,home
update uber destination to the railway station on Uber.,railway station
update uber destination to the nearest store,store
update uber destination to home.,home
update uber destination to mall,mall
update uber destination to campus.,campus
